,Powierzchnia,Piętro,room_count,lat,lng,Ludnosc,age,balkon,taras,Winda,Miejsce_parkingowe,Materiał_budynku,Stan_wykończenia,Rodzaj_zabudowy,price
242,70.0,2.0,2.0,53.011131,18.614335,175852.0,3.0,0.0,0.0,0,0,0,0,0,4000.0
243,70.0,7.0,3.0,52.0778807,21.0090593,16202.545454545454,9.0,1.0,0.0,1,1,0,0,0,3100.0
244,30.0,2.0,2.0,51.2070067,16.1553231,88421.0,14.0,0.0,0.0,0,1,1,0,0,1250.0
245,40.0,0.0,2.0,52.9980439,18.630686,175852.0,3.0,1.0,1.0,1,0,0,0,0,2000.0
246,35.52,5.0,1.0,49.8223768,19.0583845,156307.0,15.0,1.0,0.0,1,1,0,0,0,1700.0
247,77.0,5.0,2.0,54.4772928,18.5499537,219142.0,13.0,1.0,0.0,1,0,0,0,0,4700.0
248,38.0,0.0,1.0,53.7099616,17.5599359,13393.714285714286,19.0,0.0,0.0,0,1,0,1,0,1200.0
249,82.0,2.0,4.0,54.3754013,18.6091245,420796.0,15.0,0.0,0.0,0,1,0,0,0,5800.0
250,65.0,4.0,3.0,52.45079819999999,16.9203223,93138.2,15.0,1.0,0.0,1,1,1,0,0,3000.0
251,49.8,4.0,3.0,52.1777162,22.272085,73133.0,20.0,1.0,0.0,0,0,0,0,0,1250.0
252,55.1,1.0,2.0,51.0861995,17.0090612,115516.8,8.0,1.0,0.0,0,0,1,1,1,3900.0
253,56.0,1.0,2.0,50.0533625,19.9113906,141070.0,16.0,1.0,0.0,0,1,1,1,1,2900.0
254,43.0,2.0,2.0,50.0381013,19.9255806,141070.0,16.0,0.0,0.0,0,1,0,0,0,2000.0
255,65.0,0.0,3.0,52.1859835,21.0687622,90327.38888888888,19.0,1.0,0.0,1,1,1,1,1,3000.0
256,25.0,1.0,1.0,52.2644306,21.0272715,90327.38888888888,45.0,1.0,0.0,1,1,0,0,0,2200.0
257,20.0,1.0,1.0,53.4285438,14.5528116,347786.0,13.0,0.0,0.0,0,1,1,0,1,1400.0
258,40.0,4.0,2.0,52.254362,20.9934008,90327.38888888888,13.0,1.0,0.0,1,1,0,0,0,3500.0
